iter	MultiClass
0	2.570338371
1	2.230142592
2	1.958743724
3	1.789953748
4	1.629459516
5	1.48677465
6	1.355884462
7	1.25271567
8	1.158843435
9	1.079997164
10	1.005615308
11	0.9396517779
12	0.8841063316
13	0.8297551297
14	0.7805048207
15	0.730208975
16	0.6879443545
17	0.6494475462
18	0.6162903292
19	0.5809838979
20	0.5533832091
21	0.5257875934
22	0.5023705849
23	0.4791946349
24	0.4584871302
25	0.4354299559
26	0.4175090826
27	0.3971652516
28	0.3822150011
29	0.3653048866
30	0.3501688402
31	0.3345610844
32	0.321698128
33	0.3078004412
34	0.2968259139
35	0.2851259845
36	0.2751436586
37	0.2635519344
38	0.2533721752
39	0.2461787753
40	0.2382203374
41	0.2305893938
42	0.223520585
43	0.2161361316
44	0.2099526188
45	0.2030500091
46	0.1969408767
47	0.1921374121
48	0.1860615744
49	0.1809313696
50	0.1753869093
51	0.17049641
52	0.1659521599
53	0.1621698706
54	0.1586173988
55	0.1533723103
56	0.149825634
57	0.1459710988
58	0.1423261658
59	0.1382351573
60	0.1350651618
61	0.1323252403
62	0.1289948963
63	0.1265829449
64	0.1237335085
65	0.1210735195
66	0.1185060567
67	0.1164603862
68	0.1136839718
69	0.111305783
70	0.1093169625
71	0.1076208162
72	0.1057496306
73	0.1036715281
74	0.1019999583
75	0.1004438126
76	0.09883492505
77	0.09731127461
78	0.09588062957
79	0.0939361164
80	0.0923008449
81	0.09080431802
82	0.08928048862
83	0.08770081696
84	0.08627362685
85	0.08470223402
86	0.08347099763
87	0.08167508935
88	0.08066245582
89	0.07924751122
90	0.078315315
91	0.07733266233
92	0.07609481002
93	0.07480082229
94	0.07354523351
95	0.07267045092
96	0.07157657977
97	0.07081187229
98	0.07012590992
99	0.06919270757
100	0.06853283961
101	0.06781721056
102	0.06675819749
103	0.06600957663
104	0.06531914427
105	0.06447644923
106	0.06370510994
107	0.0629633222
108	0.06198870363
109	0.06079715083
110	0.06008257854
111	0.0593420855
112	0.05828596212
113	0.05761442025
114	0.05702521992
115	0.05640037366
116	0.05561230542
117	0.05505820494
118	0.05406603609
119	0.05353801952
120	0.05296496684
121	0.05242895407
122	0.05178373251
123	0.05138995596
124	0.05106413543
125	0.05060389402
126	0.05015229221
127	0.04952753673
128	0.04911560549
129	0.04843527188
130	0.04794789967
131	0.04753356063
132	0.04708611515
133	0.04668662292
134	0.04617810979
135	0.04593459236
136	0.04556500488
137	0.04518858386
138	0.04480076233
139	0.04440081692
140	0.04384506532
141	0.04348042278
142	0.04294366933
143	0.04254970141
144	0.04202032679
145	0.0416370235
146	0.04128988401
147	0.04093993736
148	0.04065143371
149	0.04028324849
150	0.03989033784
151	0.03947326897
152	0.03914282623
153	0.0386878701
154	0.0384093854
155	0.03818615119
156	0.03790309978
157	0.03761293617
158	0.03730870488
159	0.03697980977
160	0.03665147823
161	0.03639346231
162	0.03614350312
163	0.03592902919
164	0.03559895984
165	0.0353820904
166	0.0351844179
167	0.03488468783
168	0.03464047557
169	0.03437761057
170	0.03402900764
171	0.03381420245
172	0.03364196541
173	0.03345225181
174	0.03324173381
175	0.03295154563
176	0.0327804301
177	0.03252188525
178	0.0322935831
179	0.03208682537
180	0.03191662707
181	0.03161522441
182	0.03142631085
183	0.03125632966
184	0.03101820042
185	0.03082956978
186	0.03067487923
187	0.03046913246
188	0.03015935565
189	0.02999491138
190	0.02976360965
191	0.02968150488
192	0.0295116436
193	0.02924927056
194	0.0290432908
195	0.02887631267
196	0.02863268012
197	0.02842121302
198	0.02825485425
199	0.02811712068
200	0.02790334655
201	0.02780943952
202	0.02759421588
203	0.02733935763
204	0.02724376564
205	0.02709925687
206	0.02694572248
207	0.02679658702
208	0.02666496102
209	0.02648448674
210	0.02634618049
211	0.02612153915
212	0.02602804289
213	0.02579439482
214	0.02563804154
215	0.02553784361
216	0.02544796639
217	0.02528552868
218	0.02517639438
219	0.02503885553
220	0.02494130486
221	0.02483460028
222	0.02469851914
223	0.02450225739
224	0.02434375356
225	0.02417530498
226	0.0240351904
227	0.02389183391
228	0.02379171338
229	0.02361965708
230	0.02350804382
231	0.02338926819
232	0.0232688407
233	0.02316082904
234	0.02304056987
235	0.02290885423
236	0.02278601802
237	0.02267626091
238	0.0225825448
239	0.02238095189
240	0.0221763272
241	0.02210509899
242	0.02201600426
243	0.02186563718
244	0.02177036014
245	0.021674162
246	0.02156520267
247	0.02147178099
248	0.02133948331
249	0.02125293188
250	0.02110711759
251	0.02102383139
252	0.0209207259
253	0.02082101008
254	0.02075225608
255	0.02063580487
256	0.02055065367
257	0.02038612039
258	0.02031013932
259	0.02020133036
260	0.02014395488
261	0.02008516432
262	0.0200034914
263	0.01994185544
264	0.01988581869
265	0.0197683067
266	0.01967648495
267	0.01960508535
268	0.01955440359
269	0.01945273743
270	0.0193724329
271	0.01928590871
272	0.01921360955
273	0.01915130926
274	0.01905213234
275	0.01895423516
276	0.01887765054
277	0.01883574527
278	0.01874953903
279	0.01867895281
280	0.01862127369
281	0.01856998037
282	0.01848756859
283	0.01842976646
284	0.01836402629
285	0.0182924887
286	0.01821102067
287	0.01813273727
288	0.01804798562
289	0.01798096227
290	0.01787735178
291	0.01782104056
292	0.01772040694
293	0.01767806497
294	0.01758899262
295	0.0175196946
296	0.01745067554
297	0.0174010391
298	0.0173588195
299	0.01729873794
300	0.01724760606
301	0.0171716808
302	0.01714020624
303	0.01706083383
304	0.01696344972
305	0.01690026851
306	0.01679149291
307	0.01676796378
308	0.01670714581
309	0.01662381409
310	0.01656843872
311	0.01651813493
312	0.01646695478
313	0.01643044998
314	0.01637259682
315	0.01629831592
316	0.01624230128
317	0.0161638576
318	0.01611445903
319	0.01604675747
320	0.01600156573
321	0.01596966872
322	0.01592063177
323	0.01587877599
324	0.0158115753
325	0.01577529347
326	0.01572654696
327	0.01567695121
328	0.01563630736
329	0.01560015792
330	0.01555177198
331	0.01548298994
332	0.01541255033
333	0.01532794632
334	0.01528680652
335	0.01523981095
336	0.0152025487
337	0.01517548837
338	0.01513190881
339	0.01503926962
340	0.01500805674
341	0.01492793761
342	0.01488928852
343	0.01484137939
344	0.01479366262
345	0.01475643012
346	0.01471490086
347	0.01467156055
348	0.01462749195
349	0.01456203946
350	0.01449341638
351	0.0144249305
352	0.01435633393
353	0.01432252908
354	0.01428166648
355	0.01424185582
356	0.01420715462
357	0.01417425246
358	0.01413939616
359	0.01411609397
360	0.0140860233
361	0.01405186428
362	0.0140168558
363	0.01397026694
364	0.01392963132
365	0.01389096145
366	0.01384369658
367	0.01379973489
368	0.01373359162
369	0.01368893137
370	0.013648677
371	0.01357219003
372	0.01354075645
373	0.01349143286
374	0.01345900231
375	0.01342815448
376	0.01340658699
377	0.01336993151
378	0.01333809949
379	0.01331173595
380	0.01327727683
381	0.01326446896
382	0.0132282593
383	0.01319544191
384	0.01312647364
385	0.01308778244
386	0.01304983958
387	0.01302450121
388	0.01299233611
389	0.01296033568
390	0.01292588062
391	0.01289483429
392	0.01286326863
393	0.01283205617
394	0.01279759253
395	0.01276772169
396	0.01273144078
397	0.01268095912
398	0.01265186211
399	0.01261962156
400	0.01259707302
401	0.01255656607
402	0.0125172455
403	0.0124973324
404	0.01246629568
405	0.01244145239
406	0.01239613011
407	0.01234830441
408	0.01231896848
409	0.01227105107
410	0.01224231627
411	0.01220766117
412	0.01216745298
413	0.01213720683
414	0.01209546824
415	0.01205956624
416	0.0120349572
417	0.01198532822
418	0.0119547663
419	0.01192669653
420	0.01190271328
421	0.01186560276
422	0.01184254384
423	0.01181374948
424	0.01177906868
425	0.0117628758
426	0.01173119768
427	0.01169947983
428	0.0116737676
429	0.01162583152
430	0.01159472918
431	0.0115544106
432	0.01152142978
433	0.01148540521
434	0.01145738756
435	0.01142730931
436	0.0114037362
437	0.01137524963
438	0.01134226427
439	0.01130941621
440	0.01128988834
441	0.01126441923
442	0.01122857473
443	0.01120089302
444	0.01116433118
445	0.01112954828
446	0.01107404244
447	0.01105535422
448	0.01102874689
449	0.01101187378
450	0.01098713488
451	0.01095385776
452	0.0109305491
453	0.01090682065
454	0.01085701835
455	0.01082738049
456	0.01079223911
457	0.01076344344
458	0.01072663435
459	0.01070439724
460	0.01068255725
461	0.01066275491
462	0.01062591208
463	0.01059506962
464	0.01055621446
465	0.01052729458
466	0.01050059475
467	0.01047610715
468	0.01045771537
469	0.01043124999
470	0.01040332461
471	0.01037364729
472	0.01034601759
473	0.0103126067
474	0.01029522724
475	0.01027163321
476	0.01025199014
477	0.0102343516
478	0.01021011809
479	0.01018789829
480	0.01017301206
481	0.01015975479
482	0.01013403505
483	0.01011771394
484	0.01008565526
485	0.01003881914
486	0.01001585293
487	0.009987852604
488	0.009979156652
489	0.009958651933
490	0.009945250834
491	0.009919782707
492	0.00988599738
493	0.009861631837
494	0.009821939798
495	0.009793994583
496	0.009780027914
497	0.009763097515
498	0.009746525562
499	0.009717498627
500	0.009699257208
501	0.009676847237
502	0.009661720048
503	0.009634543663
504	0.009613274633
505	0.009592758953
506	0.009572885062
507	0.009556054619
508	0.009537547893
509	0.009523868591
510	0.009502823003
511	0.009488972163
512	0.009463148709
513	0.009438896336
514	0.009417098776
515	0.00939560438
516	0.009378846932
517	0.009358935794
518	0.009340830873
519	0.009325362566
520	0.009310391157
521	0.009279739982
522	0.009267692284
523	0.009250554723
524	0.00922929561
525	0.009210387573
526	0.009192777094
527	0.009180592798
528	0.009162270251
529	0.009145811328
530	0.009128098489
531	0.00911388651
532	0.009092083693
533	0.009066364755
534	0.009050802366
535	0.009024999759
536	0.008997477845
537	0.008975924883
538	0.008955799766
539	0.008937453386
540	0.00891595136
541	0.008899726304
542	0.008880733218
543	0.008867238065
544	0.008853110949
545	0.008828260266
546	0.008818353208
547	0.008796502629
548	0.008781127832
549	0.008772412719
550	0.008747648755
551	0.008732485855
552	0.008718380684
553	0.008707021225
554	0.008688765221
555	0.008670560561
556	0.00865926685
557	0.008644434844
558	0.0086340829
559	0.00862211275
560	0.008602446108
561	0.008586309862
562	0.008563164398
563	0.008553082574
564	0.008525885651
565	0.008510400845
566	0.008489878429
567	0.008476464055
568	0.008463838774
569	0.008453302425
570	0.008432857484
571	0.008422942985
572	0.008414428612
573	0.008403747931
574	0.008388191678
575	0.008368043514
576	0.008352758379
577	0.008336966446
578	0.008319891554
579	0.008290275025
580	0.008266406641
581	0.008249253253
582	0.008233301198
583	0.008217813977
584	0.008207906301
585	0.008187952455
586	0.008172966957
587	0.008154075198
588	0.008131272826
589	0.008109706024
590	0.008093290893
591	0.008081904452
592	0.008071360599
593	0.008062056781
594	0.008051994674
595	0.008034648929
596	0.008021716755
597	0.008008450861
598	0.00799361393
599	0.007973864774
600	0.007955356267
601	0.007944932646
602	0.007932597253
603	0.007924129601
604	0.007911867825
605	0.00790152049
606	0.007892600201
607	0.007881216319
608	0.007866646413
609	0.007854855886
610	0.007836682426
611	0.007817176112
612	0.007799695426
613	0.007784703552
614	0.00776560544
615	0.007747967511
616	0.007737273018
617	0.007724265626
618	0.007706369341
619	0.007690117182
620	0.007678006021
621	0.007663349811
622	0.007646232688
623	0.007638246058
624	0.007624417767
625	0.007606414785
626	0.00759191805
627	0.007579204709
628	0.007570069394
629	0.007556454671
630	0.00754247245
631	0.007524355439
632	0.007514824624
633	0.007505009848
634	0.007488384751
635	0.007473463241
636	0.007459050586
637	0.00744754088
638	0.007429551652
639	0.007421507394
640	0.007412063473
641	0.00739591081
642	0.007382412636
643	0.007362716296
644	0.007354269711
645	0.007341246772
646	0.007330664209
647	0.007321549551
648	0.007309441086
649	0.007288959233
650	0.007276529184
651	0.007261464096
652	0.007248130513
653	0.007231529477
654	0.007223444217
655	0.007212659143
656	0.007198865848
657	0.007190763146
658	0.00718259405
659	0.00716890561
660	0.007160357055
661	0.00715454201
662	0.007136454073
663	0.007118471534
664	0.007093820769
665	0.007085114245
666	0.007072714688
667	0.007062849767
668	0.007056583425
669	0.007048838021
670	0.007032090188
671	0.007021893549
672	0.007010625374
673	0.007001573777
674	0.00698764051
675	0.006983352431
676	0.006970281514
677	0.006955086629
678	0.006948343464
679	0.006935396996
680	0.006925817336
681	0.006911955835
682	0.00689098915
683	0.00687863992
684	0.006870173548
685	0.006859302802
686	0.006851958539
687	0.006841542717
688	0.006824950206
